stem,St_Gall,Thurgovia,Uri,Zurich,Argovia,Basle_City,Berne,Grisons,Lucerne,Nidwald,Obwald,Schaffhausen,Schwyz
abendlaend,1,0,3,1,5,0,0,0,0,0,0,0,0
asyl,1,2,2,18,23,1,0,1,0,11,3,0,0
auslaend,3,2,8,29,34,3,0,2,11,12,9,1,12
ausland,0,0,1,8,12,0,1,0,1,2,0,1,0
buerger,0,0,30,49,70,1,0,1,14,13,0,2,10
demokrat,0,0,6,12,13,0,1,1,2,3,1,0,3
einbuerg,0,1,2,12,15,1,0,0,3,0,1,0,2
einheim ,3,2,0,2,2,0,0,0,0,1,1,0,0
freiheit,0,1,9,31,34,2,3,0,9,4,0,0,3
gemein,0,0,3,4,4,0,0,0,1,0,2,1,1
gewalt,2,1,2,5,7,0,2,0,0,2,3,1,0
ihr ,2,2,27,86,77,7,7,1,9,12,9,8,10
illegal,0,0,0,7,10,0,0,0,0,1,1,0,0
integr,2,1,7,14,17,0,0,0,8,0,2,1,7
konsequ,5,5,6,17,20,5,1,2,3,6,6,3,3
kontroll,0,0,1,10,12,0,1,0,0,0,0,0,0
krimin,1,3,2,12,11,1,1,1,2,6,4,0,0
missbra,0,0,4,12,11,0,0,0,0,2,0,0,2
neutral,0,0,7,14,20,0,0,0,0,1,0,0,1
opfer,0,0,0,4,4,0,0,0,2,1,1,0,1
ordnung,0,1,5,7,15,0,1,0,5,2,1,1,2
anpass,0,0,3,4,2,0,0,0,1,1,1,0,2
politik,0,0,12,11,21,6,0,1,0,3,2,0,4
regulier,0,0,0,6,8,0,0,0,1,1,0,0,0
schweizer,1,1,8,45,53,0,5,0,5,10,2,1,3
sicher,4,8,19,49,62,6,8,0,19,21,10,7,10
souveraen,0,0,2,3,6,0,0,0,0,1,0,0,0
sprach,0,0,1,3,6,0,1,0,0,1,0,0,0
steuerzahl,0,0,0,7,5,1,0,0,0,1,0,3,0
straf ,0,0,1,1,8,0,0,0,0,1,0,3,1
taeter,0,0,0,4,10,0,0,0,4,0,3,0,4
unabhaeng,0,1,4,23,37,0,0,2,9,1,0,1,2
unser ,3,4,83,101,105,16,5,11,71,46,9,12,54
verantw,0,6,15,11,20,3,2,0,3,4,12,4,11
verteidig,1,0,5,11,13,0,0,0,0,1,0,0,1
volk,0,0,3,8,7,1,0,1,0,0,1,0,2
wander,0,1,1,19,32,3,3,2,1,7,1,0,2
wir,0,1,47,27,25,9,5,3,18,36,2,3,39
